City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,78.17,76,13,16.73,light rain
1,Dikson,RU,73.5069,80.5464,-23.39,100,30,6.78,scattered clouds
2,Ribeira Grande,PT,38.5167,-28.7,62.6,72,40,13.8,scattered clouds
3,Mataura,NZ,-46.1927,168.8643,53.01,97,100,2.68,overcast clouds
4,Marsabit,KE,2.3284,37.9899,75.74,39,100,12.35,overcast clouds
5,Mar Del Plata,AR,-38.0023,-57.5575,68.0,77,90,13.8,light rain
6,Inta,RU,66.0317,60.1659,1.96,99,32,5.17,scattered clouds
7,Bjorkelangen,NO,59.8848,11.5694,41.0,95,85,5.99,light rain
8,Jamestown,US,42.097,-79.2353,53.6,100,90,4.09,light rain
9,Flin Flon,CA,54.7682,-101.865,23.0,50,90,6.91,overcast clouds
10,Port-Gentil,GA,-0.7193,8.7815,82.4,78,40,11.5,light rain
11,Ixtapa,MX,20.7,-105.2,66.2,68,40,4.61,scattered clouds
12,Salalah,OM,17.0151,54.0924,84.2,58,0,3.44,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,50.0,50,0,28.77,clear sky
14,Kirakira,SB,-10.4544,161.9205,80.08,82,20,6.64,few clouds
15,Miranda,CO,3.2499,-76.2281,80.6,65,40,2.3,scattered clouds
16,Chokurdakh,RU,70.6333,147.9167,-17.18,100,92,3.62,overcast clouds
17,Dingle,PH,10.9995,122.6711,76.86,86,80,5.95,broken clouds
18,Richards Bay,ZA,-28.783,32.0377,70.38,70,96,10.63,overcast clouds
19,Avarua,CK,-21.2078,-159.775,80.6,78,75,11.5,light rain
20,Kruisfontein,ZA,-34.0033,24.7314,66.0,69,100,5.01,overcast clouds
21,Hastings,GB,50.8552,0.5729,52.0,68,100,8.99,overcast clouds
22,Tiksi,RU,71.6872,128.8694,2.28,99,100,1.01,overcast clouds
23,Talnakh,RU,69.4865,88.3972,-10.01,96,50,2.68,scattered clouds
24,Nikolskoye,RU,59.7035,30.7861,46.0,70,0,8.95,clear sky
25,Bambous Virieux,MU,-20.3428,57.7575,81.0,83,40,0.29,scattered clouds
26,Olafsvik,IS,64.8945,-23.7142,30.58,83,100,17.85,light snow
27,Ponta Do Sol,PT,32.6667,-17.1,68.0,64,20,11.5,few clouds
28,Busselton,AU,-33.65,115.3333,60.01,90,0,8.43,clear sky
29,Thai Binh,VN,20.45,106.3333,73.4,94,90,3.44,overcast clouds
30,Pevek,RU,69.7008,170.3133,-19.23,97,28,1.43,scattered clouds
31,Irtyshskiy,RU,58.3333,68.1333,18.1,95,67,2.82,broken clouds
32,Cape Town,ZA,-33.9258,18.4232,75.99,46,0,11.5,clear sky
33,Ilulissat,GL,69.2167,-51.1,-7.6,45,7,4.43,clear sky
34,Qaanaaq,GL,77.484,-69.3632,-14.62,78,33,3.51,scattered clouds
35,Atuona,PF,-9.8,-139.0333,81.1,70,100,18.21,overcast clouds
36,Nhulunbuy,AU,-12.2333,136.7667,82.4,89,40,9.22,scattered clouds
37,Khatanga,RU,71.9667,102.5,-1.48,98,99,6.91,overcast clouds
38,Pangnirtung,CA,66.1451,-65.7125,10.54,55,99,2.66,overcast clouds
39,Gondar,ET,12.6,37.4667,69.37,35,100,4.81,overcast clouds
40,Rawson,AR,-43.3002,-65.1023,70.65,41,78,10.94,broken clouds
41,Planaltina,BR,-15.4528,-47.6142,86.0,28,0,8.05,clear sky
42,Mahebourg,MU,-20.4081,57.7,80.6,83,40,0.94,scattered clouds
43,Maubin,MM,16.7333,95.65,84.2,70,20,6.91,few clouds
44,Yellowknife,CA,62.456,-114.3525,15.01,62,75,12.66,broken clouds
45,Katsuura,JP,35.1333,140.3,62.6,94,90,11.5,moderate rain
46,Praia Da Vitoria,PT,38.7333,-27.0667,64.4,72,40,14.99,scattered clouds
47,Vardo,NO,70.3705,31.1107,37.4,75,75,6.91,broken clouds
48,Vallenar,CL,-28.5708,-70.7581,75.96,40,0,5.46,clear sky
49,Chuy,UY,-33.6971,-53.4616,70.65,81,72,8.5,broken clouds
50,Kaitangata,NZ,-46.2817,169.8464,53.51,97,100,2.06,overcast clouds
51,Vaini,TO,-21.2,-175.2,77.0,100,75,8.05,light rain
52,Waddan,LY,29.1614,16.139,72.03,15,80,9.51,broken clouds
53,Cherskiy,RU,68.75,161.3,-9.06,91,100,1.68,overcast clouds
54,Mossoro,BR,-5.1875,-37.3442,89.6,62,75,6.91,broken clouds
55,Tautira,PF,-17.7333,-149.15,77.0,78,20,3.44,light rain
56,Lebu,CL,-37.6167,-73.65,63.3,65,5,15.82,clear sky
